depth,width,num_parameters,R_test,eq_error,test_error
1,1,22,5,0.10870853066444397,3.0696747303009033
1,1,22,10,0.47560667991638184,12.36496639251709
1,1,22,20,2.599323034286499,50.63687515258789
1,1,22,40,13.774500846862793,206.4805908203125
1,2,40,5,0.24785828590393066,2.9787330627441406
1,2,40,10,0.8591921329498291,12.2378568649292
1,2,40,20,4.779357433319092,50.894874572753906
1,2,40,40,25.795534133911133,210.71682739257812
1,3,60,5,0.6272838115692139,2.6494140625
1,3,60,10,1.8094184398651123,11.468474388122559
1,3,60,20,5.6411261558532715,49.936248779296875
1,3,60,40,21.037036895751953,206.88604736328125
1,4,82,5,0.8580865859985352,2.5397374629974365
1,4,82,10,2.097911834716797,10.95064926147461
1,4,82,20,5.8263092041015625,47.89802551269531
1,4,82,40,17.714496612548828,200.595947265625
1,5,106,5,1.0808427333831787,2.3393073081970215
1,5,106,10,3.0155200958251953,10.701817512512207
1,5,106,20,11.005619049072266,50.048606872558594
1,5,106,40,40.7596435546875,213.46888732910156
1,6,132,5,1.1519596576690674,2.0801377296447754
1,6,132,10,3.587613582611084,9.55338191986084
1,6,132,20,12.132493019104004,46.33422088623047
1,6,132,40,40.10918426513672,205.1124267578125
1,7,160,5,1.2382733821868896,1.8349189758300781
1,7,160,10,4.3177571296691895,9.1812162399292
1,7,160,20,15.929871559143066,47.17290115356445
1,7,160,40,58.02309036254883,212.2985382080078
1,8,190,5,1.3397881984710693,1.6418591737747192
1,8,190,10,4.115330219268799,8.30712604522705
1,8,190,20,12.792712211608887,44.40337371826172
1,8,190,40,41.05419921875,204.05140686035156
1,9,222,5,1.2474554777145386,1.4895275831222534
1,9,222,10,4.1585469245910645,7.954522609710693
1,9,222,20,14.375223159790039,43.868568420410156
1,9,222,40,49.82063293457031,202.70846557617188
1,10,256,5,0.924645721912384,1.0384656190872192
1,10,256,10,4.008148670196533,5.921832084655762
1,10,256,20,18.012174606323242,39.594383239746094
1,10,256,40,76.9793930053711,212.01463317871094
1,11,292,5,0.932260274887085,0.8925941586494446
1,11,292,10,4.367602825164795,5.77659273147583
1,11,292,20,21.403884887695312,41.94758987426758
1,11,292,40,90.53746795654297,218.5570068359375
1,12,330,5,0.9034609198570251,0.9071319103240967
1,12,330,10,3.950857400894165,6.128307342529297
1,12,330,20,18.682111740112305,44.02713394165039
1,12,330,40,76.07350158691406,224.02296447753906
1,13,370,5,0.7431821227073669,0.7158558368682861
1,13,370,10,3.8600475788116455,4.803195953369141
1,13,370,20,21.436180114746094,38.070770263671875
1,13,370,40,98.37860870361328,212.36001586914062
1,14,412,5,0.7266169190406799,0.6105356812477112
1,14,412,10,3.6172542572021484,4.773580074310303
1,14,412,20,18.735532760620117,39.733150482177734
1,14,412,40,81.35321807861328,219.79066467285156
1,15,456,5,0.4987771511077881,0.44540268182754517
1,15,456,10,2.834228038787842,4.199192523956299
1,15,456,20,14.8744478225708,37.9105224609375
1,15,456,40,61.67713165283203,211.51185607910156
1,16,502,5,0.4780823588371277,0.39460045099258423
1,16,502,10,2.5578696727752686,4.017431735992432
1,16,502,20,13.01297664642334,38.08002853393555
1,16,502,40,54.97246551513672,212.84002685546875
1,17,550,5,0.4632960855960846,0.36901092529296875
1,17,550,10,3.0641629695892334,3.7875008583068848
1,17,550,20,21.805870056152344,39.48414611816406
1,17,550,40,122.0403823852539,235.79336547851562
1,18,600,5,0.3935837149620056,0.3461247980594635
1,18,600,10,2.618725061416626,3.787680149078369
1,18,600,20,16.408069610595703,37.98429870605469
1,18,600,40,77.17308044433594,217.09085083007812
1,19,652,5,0.4347809851169586,0.3496156930923462
1,19,652,10,2.606369733810425,3.955470085144043
1,19,652,20,14.89005184173584,40.5081901550293
1,19,652,40,69.0229721069336,231.96286010742188
1,20,706,5,0.3158113658428192,0.27144655585289
1,20,706,10,1.9996581077575684,3.2103004455566406
1,20,706,20,12.38336181640625,36.656734466552734
1,20,706,40,59.75473403930664,221.1696014404297
1,21,762,5,0.3298346996307373,0.2516268789768219
1,21,762,10,2.0452232360839844,2.833606481552124
1,21,762,20,11.852932929992676,32.66578674316406
1,21,762,40,47.190311431884766,206.51123046875
1,22,820,5,0.28159862756729126,0.23205959796905518
1,22,820,10,1.7506108283996582,3.108294725418091
1,22,820,20,10.124048233032227,34.123626708984375
1,22,820,40,41.51520919799805,201.9853057861328
1,23,880,5,0.25203055143356323,0.19138160347938538
1,23,880,10,1.5347687005996704,2.5527734756469727
1,23,880,20,9.616144180297852,31.125873565673828
1,23,880,40,44.103172302246094,205.9057159423828
1,24,942,5,0.2441643625497818,0.19533850252628326
1,24,942,10,1.4181833267211914,2.7210214138031006
1,24,942,20,8.469537734985352,33.33507537841797
1,24,942,40,33.29817581176758,205.6382598876953
1,25,1006,5,0.24940785765647888,0.1928609013557434
1,25,1006,10,1.532718539237976,3.124300003051758
1,25,1006,20,9.737545013427734,37.743736267089844
1,25,1006,40,46.44845962524414,220.81640625
1,26,1072,5,0.25806325674057007,0.1991928517818451
1,26,1072,10,1.6862068176269531,3.289921283721924
1,26,1072,20,10.056490898132324,38.96635818481445
1,26,1072,40,45.05485153198242,228.4559326171875
1,27,1140,5,0.20295971632003784,0.15124806761741638
1,27,1140,10,1.2937320470809937,2.3569021224975586
1,27,1140,20,8.867233276367188,30.05292510986328
1,27,1140,40,41.24663162231445,193.35693359375
1,28,1210,5,0.212753027677536,0.1721334606409073
1,28,1210,10,1.3832080364227295,2.902803659439087
1,28,1210,20,8.034323692321777,36.45803451538086
1,28,1210,40,32.636680603027344,217.27587890625
1,29,1282,5,0.2063763290643692,0.1437905877828598
1,29,1282,10,1.4076911211013794,2.508671283721924
